X,Y,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,weight
10.6783298159176,53.8772322289097,5036,1,0,3,0,2018,7,17,2,3,5,3,0,1,1,0,0,0,0,0,610332.393,5971168.052,40
10.6414629986554,53.8473654847432,5037,1,0,3,0,2018,9,18,4,3,3,6,1,1,0,0,0,0,0,0,607985.8882,5967788.8283,40
10.7081578120341,53.8419832400443,5053,1,0,3,0,2018,7,9,2,3,5,2,0,1,1,0,0,0,0,0,612387.5278,5967293.6724,40
10.6917516087483,53.8582555859394,5063,1,0,3,0,2018,7,19,7,3,0,7,0,1,0,0,0,0,0,1,611265.013,5969077.993,40
10.6676973905755,53.8772912179031,5064,1,0,3,0,2018,9,19,2,2,0,7,0,0,0,0,1,0,0,1,609633.3297,5971158.1249,70
10.6644273463664,53.8804575627582,5091,1,0,3,0,2018,8,16,1,3,3,6,0,0,1,1,0,0,0,0,609410.1098,5971505.3113,40
10.6790599963211,53.8822784209662,5097,1,0,3,0,2018,9,12,1,3,2,2,0,0,1,0,0,0,0,0,610367.0981,5971730.5453,40
10.7745598572916,53.9043276792783,5106,1,0,3,0,2018,8,13,6,3,1,5,0,0,1,0,1,0,0,0,616582.4544,5974336.2148,40
10.6625355255633,53.869757536205,5120,1,0,3,0,2018,7,16,3,3,3,6,0,1,0,0,0,0,1,0,609313.6689,5970312.0815,40
10.6907051342321,53.8844578536027,5124,1,0,3,0,2018,8,12,5,3,4,1,0,0,1,0,0,0,0,1,611126.7018,5971991.1801,40
10.6717958158718,53.8592655324253,5126,1,0,3,0,2018,8,20,5,3,5,2,1,1,1,0,0,0,0,0,609950.0038,5969159.2259,40
10.7153863949887,53.8639764898203,5140,1,0,3,0,2018,8,18,2,2,0,7,0,1,0,0,0,0,0,0,612803.9199,5969751.7335,70
10.6821158806275,53.8511929089236,5141,1,0,3,0,2018,7,12,3,3,5,2,0,1,1,0,0,0,0,0,610649.967,5968277.247,40
10.6624297365414,53.8699031590726,5157,1,0,3,0,2018,9,16,2,3,2,6,0,0,1,0,0,0,0,0,609306.334,5970328.1181,40
10.678523290404,53.8780571466794,5160,1,0,3,0,2018,8,2,7,3,8,1,2,0,1,0,0,0,1,0,610342.9386,5971260.1199,40
10.857389969752,53.9572875445814,5165,1,0,3,0,2018,9,8,2,3,5,3,0,1,1,0,0,0,0,0,621869.1111,5980366.934,40
10.6677966826711,53.8716051769583,5180,1,0,3,0,2018,7,10,3,3,5,3,0,1,1,0,0,0,0,0,609654.7328,5970525.7416,40
10.6846717835667,53.8800526278052,5214,1,0,3,0,2018,9,16,3,3,5,2,0,1,0,0,0,1,0,0,610741.8196,5971491.6886,40
10.6977616010311,53.8549344347458,5220,1,0,3,0,2018,7,14,2,3,0,1,0,1,0,0,0,0,0,0,611669.093,5968717.982,40
10.6640237307664,53.8540433841682,5235,1,0,3,0,2018,7,15,5,3,2,6,0,0,1,0,0,0,0,0,609452.5247,5968566.2766,40
10.8487169497363,53.9440794074964,5257,1,0,3,0,2018,8,11,7,3,2,6,0,1,0,0,0,0,0,1,621338.4519,5978882.752,40
10.6658765058001,53.8629627125303,5265,1,0,3,0,2018,9,13,6,3,2,6,0,0,1,0,0,0,0,0,609551.0783,5969561.3547,40
10.708123704325,53.8422333478362,5272,1,0,3,0,2018,7,17,4,3,0,1,0,1,0,0,0,0,0,0,612384.614,5967321.441,40
10.6825409621864,53.8515424171817,5287,1,0,3,0,2018,8,15,2,3,5,2,0,1,1,0,0,0,0,0,610677.0043,5968316.7905,40
10.693722350245,53.875549007993,5297,1,0,3,0,2018,9,11,3,3,5,3,0,1,1,0,0,0,0,0,611348.672,5971004.862,40
